_input,_num,_widgetName,_source,_resultNumber,_pageUrl,subject,content,author,date
,1,Affinio_blog_content,Affinio_blog_content,1,http://www.affinio.com/blog/top-shared-content-in-digital-strategy-june19th-25th,Top shared Content in Digital Strategy June 19th - June 25th,(Image source: Supplied) Affinio specializes in identifying tribes of people with common interests and extracting deep psychographic and cultural insights from these communities. Using our award-winning technology we built a list of the top 50000 digital strategists on Twitter analyzed their tweets and extracted the top shared content between June 19th - June 25th. Top 10 links shared by digital strategists: FREE Social Media Management Dashboard | Twitter/Facebook Marketing Tool | Commun.it To Apple Love Taylor Eddy Cue on Twitter Twitter Is Killing Twitter to Save Twitter | WIRED World business finance and political news from the Financial Times - FT.com Cannes You Please Shut Up? This Is Twitter's Top Secret Project Lightning Digital Marketing Tip: One Page On Your Website You Have to Get Right Tweet Jukebox Nestlé Will Be the First Brand to Run a Sponsored Periscope Stream Top 10 favorited tweets by digital strategists: Take down the #ConfederateFlag at the SC Capitol. To many it is a symbol of racial hatred. Remove it now to honor #Charleston victims. — Mitt Romney (@MittRomney) June 20 2015 Good point Mitt. https://t.co/Ryusfp8Xbh — President Obama (@POTUS) June 21 2015 We hear you @taylorswift13 and indie artists. Love Apple — Eddy Cue (@cue) June 22 2015 #AppleMusic will pay artist for streaming even during customer’s free trial period — Eddy Cue (@cue) June 22 2015 There are so many term sheets I'd love to go back in time and renegotiate with Taylor Swift's help. — Aaron Levie (@levie) June 22 2015 Mad respect for this couple having blatant sex on the #CannesLions red carpet just now. pic.twitter.com/JVgVYIsC8z — David Griner (@griner) June 23 2015 Here are the stats: Per population we kill each other with guns at a rate 297x more than Japan 49x more than France 33x more than Israel. — President Obama (@POTUS) June 21 2015 I am elated and relieved. Thank you for your words of support today. They listened to us. — Taylor Swift (@taylorswift13) June 22 2015 To Apple Love Taylor http://t.co/GN9jiRkqlj — Taylor Swift (@taylorswift13) June 21 2015 If we follow this African proverb we won't go far wrong. #ogilvycannes #canneslions pic.twitter.com/F4CZ5VEW1K — Khai (@ThamKhaiMeng) June 21 2015 Top 20 hashtags in digital strategy: #marketing #canneslions #socialmedia #fathersday #startup #business #mobile #seo #contentmarketing #tech #facebook #twitter #digital #charlestonshooting #google #startups #leadership #content #advertising #design Top 20 domains in digital strategy: Digital strategists sourced content from these domains more than any others between June 19th - June 25th. twitter.com businessinsider.com adweek.com forbes.com thenextweb.com inc.com hbr.org techcrunch.com wired.com entrepreneur.com mashable.com fastcompany.com adage.com bloomberg.com theguardian.com theverge.com buzzfeed.com blog.hubspot.com wsj.com qz.com Are you creating and sharing content to attract a target audience? If so contact us for a demo as we'd love to help you better understand the culture and interests of your ideal customer. Request a demo,Laura Park,June 25 2015
,2,Affinio_blog_content,Affinio_blog_content,2,http://www.affinio.com/blog/which-brands-are-cashing-in-on-jurassic-world,Which brands are cashing in on Jurassic World?,Image credit: Amblin Entertainment/Legendary Pictures/Universal Pictures In preparation for the launch of Jurassic World in the US on June 12th I used Affinio to analyze all of the followers of @jurassicpark to identify the various types of people who will likely be attending on opening weekend. After segmentation the following tribes of Jurassic park fans were found: Digging into each tribe revealed unique insights on who these people are and the things they cared about most. Here's a tribe of hardcore Jurassic Park fans: Here are the top 200 most relevant accounts to the tribe of Jurassic Park fans: While reviewing the tribe of “Jurassic park fans” I noticed something interesting within the top used hashtags section. Of the top 20 hashtags used by Jurassic park fans 6 of them were directly related to brands working closely with Jurassic World to hype the launch. Top used hashtags for the month of May by the Jurassic Park fans tribe: Top used hashtags niche ranked by for this tribe: The most used was #unlockalphacar with 474 mentions from members of the Jurassic Park fans tribe: #unlockalphacar Tweet #UnlockAlphaCar and be the first to see two alphas get ready for battle. JURASSIC WORLD - in cinemas this June! http://t.co/LPDPYeE522 — Mercedes-Benz (@MercedesBenz) May 16 2015 Hi @mercedesbenz I want to unlock the #UnlockAlphaCar exclusive picture. http://t.co/6hVSAqeeaw please — Gerardo Hernandez Jr (@gerardo56983205) May 17 2015 Hi @mercedesbenz I want to unlock the #UnlockAlphaCar exclusive picture. http://t.co/N6ewcwVfVc — Anton Hakulinen (@AHakulinen) May 17 2015 Now this is cool... @mercedesbenz #UnlockAlphaCar http://t.co/mRH9xjVgsk — Jack De La Mare (@jackdelamare) May 17 2015 #legojurassicgame These two never learned to play nicely. #LEGOJurassicGame pic.twitter.com/2o5jaNjIQP — LEGO Jurassic Game (@LEGOJurassic) May 28 2015 RT if you love dinosaurs. Let’s make a big ROAR! #LEGOJurassicGame pic.twitter.com/orjtlcAeJ8 — LEGO Jurassic Game (@LEGOJurassic) May 8 2015 Ah ah ah... #LEGOJurassicGame pic.twitter.com/XpT6vAi5XN — LEGO Jurassic Game (@LEGOJurassic) May 9 2015 Now THIS is epic. #LEGO #JurassicWorld pic.twitter.com/cmQxUuZC18 — RyanJPshu (@ryanJPshu) May 18 2015 #amazingrace Can you outrun a pack of raptors? On your mark get set GO! The Park is Open June 12. #JurassicWorld #AmazingRace https://t.co/aZ39Ho9CK0 — #JurassicWorld (@JurassicPark) May 16 2015 #barbasol Get them now before they're extinct. #Barbasol #JurassicWorld The Park opens June 12. pic.twitter.com/yDLXV5123Z — Barbasol (@BarbasolShave) May 17 2015 Now on our east dock… hopefully they make it off the island. #Barbasol #JurassicWorld opens June 12 pic.twitter.com/gT5WD6Zvg1 — Barbasol (@BarbasolShave) May 2 2015 Thanks to artist @markenglert for the limited edition #Barbasol can design. Coming to stores now! pic.twitter.com/vdu1KOnoZL — Barbasol (@BarbasolShave) May 9 2015 Where not in San Jose anymore. We got no Dodgson here!!! #nerdy #Barbasol #JurassicPark pic.twitter.com/TTi6fvChdB — Reel Tours Hawaii (@reeltourshawaii) May 16 2015 These engagements show that each of these brands has developed content that is resonating with their intended audience Jurassic Park fans. Knowing how each piece of content performs within their ideal audience segment helps accurately measure the effectiveness of the campaigns. When developing content for digital shares likes clicks and mentions are only as valuable as the people performing them. Affinio allows you to dig deep into an audience to ensure that your content is performing well with the intended audience. Interested in learning how to track content performance within a niche?,Brian,June 09 2015
,3,Affinio_blog_content,Affinio_blog_content,3,http://www.affinio.com/blog/top-shared-content-in-digital-strategy-april-31-may-7th,Top Shared Content in Digital Strategy April 31-May 7th,Affinio specializes in finding tribes of like-minded people and extracting deep psychographic and cultural insights on them. Using our award winning technology we built a list of the top 50000 digital strategists on Twitter analyzed their tweets and extracted the top shared content between April 31-May 7th. Top 10 links shared by digital strategists: Internet.org by Facebook Watch Elon Musk deliver the best tech keynote I've ever seen How Old Do I Look? Remembering Dave Goldberg Does Silicon Valley Have a Soul? It Did - As Well as a Heart - In Dave Goldberg. CRM and Cloud Computing To Grow Your Business - Salesforce.com Now It's Official: More Google Searches Are Coming From Mobile Than Desktop Housing.com - Your search for a better home begins here Facebook and IBM Team Up to Supercharge Personalized Ads | WIRED Top 10 favorited tweets by digital strategists: We waited 5 years for that... #underwhelmed #MayPac — Mike Tyson (@MikeTyson) May 3 2015 Hello Twitterverse! Can we get some love for our #firstTweet? — GooglePlus (@GooglePlus) May 1 2015 14 years in the gym for 1 night in the ring. #MayPac pic.twitter.com/VWWxeEkyN9 — Manny Pacquiao (@MannyPacquiao) May 3 2015 My fight outfit #PacquiaoMayweather pic.twitter.com/s1gwoKAlc4 — Jimmy Kimmel (@jimmykimmel) May 3 2015 Last night's Tesla Powerwall and Powerpack unveiling https://t.co/ksD8m6nCJO — Elon Musk (@elonmusk) May 2 2015 #WelcomeToTheFamily pic.twitter.com/tTJD4wU5QY — Kensington Palace (@KensingtonRoyal) May 2 2015 And the winner is... @periscopeco — dick costolo (@dickc) May 3 2015 The Duke and Duchess of Cambridge are delighted to announce that they have named their daughter Charlotte Elizabeth Diana. — Kensington Palace (@KensingtonRoyal) May 4 2015 @jimmykimmel: Disappointing result but what a fight - thank you for making me your Bieber @MannyPacquiao - you are a champion — Jimmy Kimmel (@jimmykimmel) May 3 2015 https://t.co/cXA7mNKshJ — Ryan Gosling (@RyanGosling) May 5 2015 Top 20 hashtags in digital strategy: #marketing #socialmedia #maypac #startup #maythe4thbewithyou #mobile #seo #business #contentmarketing #tech #facebook #royalbaby #google #digital #cincodemayo #startups #twitter #starwarsday #leadership #periscope Top 20 domains in digital strategy: Digital strategists sourced content from these domains more than any others between April 31 - May 7th. twitter.com forbes.com businessinsider.com youtube.com adweek.com inc.com mashable.com entrepreneur.com theverge.com techcrunch.com hbr.org wired.com adage.com thenextweb.com wsj.com fastcompany.com bbc.co.uk facebook.com Internet.org bloomberg.com Are you creating and sharing content to attract a target audience? If so contact us for a demo as we'd love to help you better understand the culture and interests of your ideal customer. Request a demo,Brian,May 07 2015
,4,Affinio_blog_content,Affinio_blog_content,4,http://www.affinio.com/blog/who-cares-about-dreamforce,Who cares about Dreamforce?,With day one of Dreamforce wrapping up we took a minute to dig deep into the people who follow the mega conference to get a better idea of who they are what they talk about are interested in and influenced by. To start we took all of the people who follow @Dreamforce on Twitter and segmented them into distinct niche communities based on their interests and affinities. Our segmentation algorithm found 17 distinct high affinity communities inside the audience of 39.5K people. (Note: Affinio's award winning tech only takes ~30 minutes to analyze the +1B social connections required to create the following report!) Here are the 17 high affinity communities we found: Once we discovered these communities we dug into the passion area's interests and influences of each. Breakdown of the Salesforce.com sales community: Influencers: Top Bio Keywords: salesforce (used 328 times) cloud 294 sales 172 consultant 142 crm 141 business 140 technology 112 manager 109 developer 104 marketing 98 certified 95 account 91 solutions 90 Top Used Hashtags: #df14 378 #salesforce 215 #cnx14 139 #dreamforce 131 #crm 72 #dfgives 62 #cloud 60 #salesforce1 49 #df14hack 46 #marketing 40 #sales 39 #bigdata 35 #roadtodf14 34 #iot 32 Top Mentioned Accounts: @salesforce 332 @dreamforce 264 @benioff 162 @exacttarget 90 @salesforcedevs 58 @forbes 57 @sfdcfoundation 53 @youtube 52 @iamwill 47 @techcrunch 42 @pardot 39 @linkedin 36 @ucsfchildrens 34 @inc 32 Top Shared Videos: Top Shared Links: Salesforce.com Relive Connections 2014 Salesforce homepage will.i.am Force.com Dreamforce live stream Get a FREE Expo+ Pass now Desk.com will.i.am to Unveil Wearable Smartband During Dreamforce 2014 Desk.com Million Dollar Hackathon 21 Problems Only Dreamforce Attendees Will Understand The Salesforce.com sales community didn't disappoint when it comes to talking about and sharing Salesforce related content. Here's what the Digital marketing community looks like as a comparison: Breakdown of the digital marketing community: Influencers: Top Bio Keywords: marketing (used 840 times) digital 273 manager 173 sales 173 marketer 170 business 133 lover 128 technology 128 director 120 fan 99 cloud 95 b2b 95 tech 91 Top Used Hashtags: #marketing 281 #df14 271 #cnx14 237 #socialmedia 185 #contentmarketing 149 #inbound14 142 #b2b 105 #sales 99 #mobile 97 #infographic 77 #bigdata 72 #marketers 71 #crm 69 #seo 68 #digital 66 Top Mentioned Accounts: @salesforce 192 @exacttarget 169 @hubspot 151 @dreamforce 142 @mashable 140 @benioff 127 @linkedin 116 @inc 109 @forbes 106 @marketingprofs 83 @marketo 80 @kyleplacy 74 @techcrunch 71 @wsj 69 Top Shared Videos: Top Shared Links: Relive Connections 2014 Salesforce homepage will.i.am Marketo: Friends don't let friends use bad LinkedIn Photos Marketo's guide to Adweek New York Ello Manifesto Exact Target Slideshare InsideView - Next Wednesday is Marketing Day at The Open Lounge Salesforce and Omnicom Ink Marketing Cloud CRM Deal Salesforce MVP Program Marketo BrightTALK - Personalization Precision and Efficiency: The Future of Customer Engagement Hey CMO: Larry Ellison and Oracle Want Your Business Apply for a demo Want to segment your audience create better content and place highly targeted ads? Request a demo,Brian,October 13 2014
,5,Affinio_blog_content,Affinio_blog_content,5,http://www.affinio.com/blog/understanding-you-customers-affinities-across-social-platforms,Understanding your customer's affinities across social platforms,There are hundreds of social networks that each provide a unique way for people to follow find and connect with the people and things that matter most to them. Each of these networks lends it self to a slightly different type of user content and discourse. These differences allow each network to find a niche and cater to it by offering a new way to create share and consume information. While this wide selection of networks is great for users the choices and selection can be overwhelming for marketers and researchers who are trying to learn about the similarities and differences across networks. It can be easy to assume that the interests and affinities of people stay the same across multiple platforms but the reality is the same person can use multiple networks in different ways for different things and as a result the interest profiles of key audience segments can shift from platform to platform. The challenge with this is understanding who these people are on each network and then identifying the types of content and ads that will resonate with them on any given network. The planning of content (both paid and owned) should be informed by a deep understanding of the target audience for each platform so that your content best resonates with the interests and does not disrupt the user (i.e. give me content I want and expect on the specific platforms). Understanding these subtle differences platform to platform can only come by mapping the same individuals across multiple platforms to see the differences in the following patterns and what they care about most. To better understand how the interests of the same people can vary between networks we ran a couple experiments. We started by analyzing the audience of Neiman Marcus and found a high-affinity tribe of people who were interested in designer fashion. Using this tribe as a seed we created a list of 25000 people on Twitter who matched this affinity profile and found their corresponding accounts on Instagram using Affinio’s ability to map accounts across multiple platforms. We then ran a report on the same 25000 people on Instagram and compared the content topics and top affinity accounts of these people. Of the top 200 high affinity accounts for fashionista’s on Twitter 123 of them matched with the top 200 affinity accounts on Instagram. The remaining 77 accounts were unique between networks highlighting that although these 25000 people are interested in fashion on both social networks there are distinct differences in the accounts and topics that matter most when switching between networks. This means that 61.5% of these accounts have high-affinity to these 25000 people on both networks. This shows that while many of the accounts that matter most to fashion fans on Twitter are also influential on Instagram there are some notable exceptions. Yves Saint Laurent NYT Styles Times Fashion Style List and more showed up on the Twitter report but not in the Instagram. Conversely accounts such as Coco Rocha Chiara Ferragni Aimee Song Prada Balmain Beyonce and Rihanna show up in the top 200 high-affinity accounts on Instagram but not on Twitter for fashion fans. This shows that despite the common interests these people have across both platforms there are distinct differences in the types of content and accounts that matter most to these people. We performed the same test with Southern NASCAR fans a group with very different interests and affinities than the Fashionista tribe analyzed above. Of the top 200 high-affinity accounts for NASCAR fans on Twitter only 100 of them mapped to the top 200 high-affinity accounts on Instagram. Many of these unique high-affinity accounts on Instagram were accounts run by the wives of NASCAR drivers suggesting that NASCAR fans use Instagram to gain behind the scenes access into the families lifestyle and events of their favorite NASCAR Drivers. What does this cross-platform affinity test mean for marketers? Advertising has traditionally been all about reach but now things are becoming much more personal and highly-targeted allowing for a much more efficient ad spend and higher ROI. This personalized approach is challenging though as it’s critical to select the right platform for the right content. You don’t want to turn off a potential customer by presenting the wrong messaging in the wrong context like Audi did: Luckily Audi listened to their followers and now post mainly car photos. At Affinio we firmly believe that knowing how different sub niche's use each network is key to making the best decisions when developing a campaign. These cross-platform insights are the best way to accurately inform strategy content creation and targeting. Have questions about how we ran this experiment? Let us know in the comments below or give us a shout!,Brian,May 28 2015
,6,Affinio_blog_content,Affinio_blog_content,6,http://www.affinio.com/blog/how-family-loyalty-and-diversity-helped-furious-7-dominate,How family loyalty and diversity helped Furious 7 dominate,This is how the latest Fast and Furious franchise performed at the box office in its opening weekend: Furious 7 the latest instalment in the series brought in $146.5 million in the US and an outstanding $384 million worldwide on opening weekend. This is the 9th biggest opening of any movie ever showing just how far this series has come from its origins as a niche tuner car movie. In a recent Rolling Stone article Eric Thurm refers to the Fast and Furious series as “.. a franchise for the Internet” - which is fitting given the larger than life and highly sharable clips quotes and memes the series produces. After reading his article I was inspired to dig deeper into the culture of the audience of the movies to better understand the different personas the movies attract and the cultures interests and affinities of each. To do this I used Affinio to identify and segment the American followers of @fastfurious into niche tribes of like-minded people - here’s what I found: Tribes within the US audience of @fastfurious The colours above represent groups of like-minded people. Closer dots = tighter niche More dots = bigger niche. The first thing that caught my attention was the lack of a dedicated "car fans" tribe. Given the subject matter of the movie I was expecting to find a tribe such as this one that consisted of hardcore automotive fans. After reviewing the tribes in detail it became clear to me that the latest Fast and Furious movie has a diverse mainstream audience further validating that the series has broken free of its car movie stigma. The closest thing I found was a tribe of gamers intersted in Call of Duty but also had high affinity to NASCAR. This tribe which I named "NASCAR COD fans" are heavily influenced by and have high affinity to these accounts: A much larger tribe at 5% of the total audience was a group of WWE wrestling fans. Dwayne "The Rock" Johnson who stars in the latest film comes in at 27th on the list of high affinity accounts showing that he's able to bring his loyal WWE fans to the franchise. Another interesting tribe was the "Hardcore Bieber/1D fans" tribe which makes up 6% of the total audience and whose high affinity accounts include: To better understand how the movie attracted and retained this audience I reviewed the most popular Fast and Furious related tweets being shared discussed or favorited by the followers of @FastFurious and found the following: Can't thank you all enough for the incredible support. #ForPaul #Furious7 - #TeamPW pic.twitter.com/FbVm8gM5sN — Paul Walker (@RealPaulWalker) April 3 2015 You can never be over-prepared. #Furious7 pic.twitter.com/CVkw7MXEpZ — #Furious7 (@FastFurious) March 13 2015 "That bond will never be broke and the love will never get lost..." - #SeeYouAgain #ForPaul http://t.co/Ecs8AlkAky pic.twitter.com/Q5kRMPS581 — Paul Walker (@RealPaulWalker) April 6 2015 #FastFamily #Furious7Live pic.twitter.com/kTkLYhEJZ3 — #Furious7 (@FastFurious) April 2 2015 Strength comes in numbers. #FastFamily #Furious7 pic.twitter.com/zu0tAqCUXE — #Furious7 (@FastFurious) March 9 2015 "I don't have friends I got family" #Furious7Live #furious7 #premiere #VinDiesel pic.twitter.com/x7qPzV8wBH — #Furious7 (@FastFurious) April 2 2015 .@Tyrese talks about the importance of the #FastFamily. The #Furious7 Trailer Launch Event is TOMORROW on FB & E!. https://t.co/3L2j4q9OI2 — #Furious7 (@FastFurious) October 31 2014 The tweets above show that the audience of the Fast and Furious connected and engaged with content that touched on the themes of family honouring Paul Walker and the diverse and tight knit cast rather than car related content. This strategy of elevating the discussion and themes of the movie above cars to include issues everyone can relate with (family loss loyality) drew in the diverse crowd needed to become a box office success. Request a demo (photo credit: Universal),Brian,April 09 2015
,7,Affinio_blog_content,Affinio_blog_content,7,http://www.affinio.com/blog/affinio-joins-new-cohort-in-bbc-labs-program,Affinio joins new cohort in BBC Labs Program,BBC Worldwide Labs today opens its doors to the latest cohort of emerging digital media start-ups which for the first time will comprise five UK based companies and three US. The team have once again met with a wealth of applicants to seek out an array of talented bright young companies looking to make their mark on the media industry. Each of the chosen start-ups were selected due to their fit with key business areas of BBC Worldwide and the team’s belief that they each have the capability to inspire and support the company’s ambitions to accelerate its digital capabilities. The five London based start-ups include: Brandvee Karisma Kidz Powr of You Trint and Pocket Explorers and specialise in advertising children’s speech-to-text and insight. The three US based companies all work within the audience insight arena and are Affinio Rhiza and Parrot Analytics and they will work directly with David Boyle EVP of Insight. Lucy Fredericks Programme Manager BBC Worldwide Labs said: “As with each BBC Worldwide Labs programme we hope this year’s intake will empower us to push the boundaries of innovation to disrupt the markets in which we operate and challenge us to adopt new ways of working. They are a fascinating and talented group of people and we can’t wait to start working with them.” On working with three companies in the US David Boyle EVP Insight BBC Worldwide added: “These start-ups each combine a unique vision with great technical capabilities and cutting edge data science. I’m confident that each can add something very special to BBC Worldwide and I’m pleased that we’ve been able to welcome them onto the BBC Worldwide Labs programme. I’m also excited that our vision for how insight can best be shaped to deliver a wide and sustainable business impact can also help these companies progress in the industry.” Over the course of the next six months the London based start-ups will be offered office space at BBC Worldwide’s London HQ at Television Centre. The US based companies will work remotely and on occasion with the Insight team in New York. All eight start-ups will have access to a network of BBC Worldwide mentors who will be on hand to offer them advice and expertise in technology content legal advertising marketing and sales with the objective of closing a business deal with BBC Worldwide. Since launching in 2012 BBC Worldwide Labs has welcomed over 20 start-ups and has a solid track record of fast-tracking fledgeling companies to commercial partnerships. Last year the team celebrated a record four out of six collaborations between the companies and teams across BBC Worldwide. For more information contact: Cassandra Power Head of Corporate and Digital Communications Cassandra.Power@bbc.com/07739300280 Notes to Editors: To find out more about BBC Worldwide Labs please visit the BBC Worldwide Labs website or our social media pages on Facebook Twitterand Linked-in. Meet the companies: UK: Brandvee:- Brandvee helps media brands increase site traffic and advertising revenues through finding and targeting endorsers who drive conversion. http://brandvee.com Karisma Kidz:- Karisma Kidz is a multi-award winning platform that develops social emotional & entrepreneurial skills in children using virtual gaming. http://karismakidz.co.uk/ Powr of You:- Powr of You is a data marketplace for consumers and brands to learn and earn from each other. Brands learn about their consumers' cross-platform habits interests and media consumption to make data backed decisions to improve marketing ROI. https://www.powrofyou.com/ Trint:- Trint's disruptive technology opens audio/video transcription to vast new markets by making automated speech-to-text verifiable and failsafe. http://trint.it/#/home (website under development) Pocket Explorers:- Pocket Explorers is a platform for web and mobile that aims to reconnect children to the natural world by gamifying the outdoors learning experience. http://www.pocketexplorers.com/ (website under development) US: Affinio:- Affinio reveals actionable audience insights nobody else can see to lead content media buying and business strategy. http://www.affin.io/ Rhiza:- Rhiza offers web based media research and sales tools to drive omni-channel targeting for marketers and advertising sales teams. http://rhiza.com/ Parrot Analytics:- Parrot analytics has developed unique technology that allows it to analyse global content demand and consumption over the internet in real time. http://www.parrotanalytics.com/ About BBC Worldwide: BBC Worldwide is the main commercial arm and a wholly owned subsidiary of the British Broadcasting Corporation (BBC). Its vision is to build the BBC’s brands audiences commercial returns and reputation across the world. This is achieved through investing in commercialising and showcasing content from the BBC around the world in a way that is consistent with BBC standards and values. The business also champions British creativity globally. In 2013/14 BBC Worldwide generated headline profits of £157.4m and headline sales of £1042.3m and returned £173.8m to the BBC. For more detailed performance information please see our Annual Review website:http://www.bbcworldwide.com/annualreview. This post was originally published on BBC,India,June 08 2015
,8,Affinio_blog_content,Affinio_blog_content,8,http://www.affinio.com/blog/how-social-dna-improves-community-management-and-support,How Social DNA improves community management and support,Community management and social support can be tough when you know nothing about the person you are trying to help. Here’s an example of how Social DNA ™ can help you assign support requests based on a users interests and affinities. This will help your team build rapport and take a more empathetic approach to helping customers. Affinio's,Brian,April 21 2015
,9,Affinio_blog_content,Affinio_blog_content,9,http://www.affinio.com/blog/top-shared-content-in-digital-strategy-oct-22-29,Top Shared Content In Digital Strategy Oct 22nd - Oct 29th,Affinio specializes in identifying tribes of people with common interests and extracting deep psychographic and cultural insights from these communities. Using our award-winning technology we built a list of the top 50000 digital strategists on Twitter analyzed their tweets and extracted the top shared content between Oct 22nd - 29th. Top 10 links shared by digital strategists: REI closing on Black Friday for 1st time in push to #OptOutside Ikea Lovingly Turned These 10 Children's Drawings Into Actual Plush Toys How Much Does Venture Capital Drive the U.S. Economy? 15 Mind-Blowing Statistics Reveal What Happens on the Internet in a Minute [Infographic] #OptOutside with REI this Black Friday Introducing Boomerang from Instagram DrumUp - Content Marketing & Social Media Management Tool for Free After 59 years Mattel gets it right: the new Barbie ad is awesome Making Sense of Dell + EMC + VMware Why people under 35 are so unhappy Top 10 favorited tweets by digital strategists: 🐥⚡️ I'm giving ~1/3rd of my Twitter stock (exactly 1% of the company) to our employee equity pool to reinvest directly in our people. — Jack (@jack) October 23 2015 We believe a life outdoors is a life well lived. Retweet for inspiration to get outside on Black Friday. #OptOutside pic.twitter.com/zg4TxvZ42z — REI (@REI) October 28 2015 As for me: I'd rather have a smaller part of something big than a bigger part of something small. I'm confident we can make Twitter big! ✌️ — Jack (@jack) October 23 2015 Hurricane #Patricia looks menacing from @space_station. Stay safe below #Mexico. #YearInSpace pic.twitter.com/6LP2xCYcGD — Scott Kelly (@StationCDRKelly) October 23 2015 You may want to turn your volume up for this one. #OptOutside https://t.co/hNHCAvkGVi — REI (@REI) October 27 2015 Hurricane #Patricia approaches #Mexico. It's massive. Be careful! #YearInSpace pic.twitter.com/F5LgnjOjey — Scott Kelly (@StationCDRKelly) October 23 2015 "REI is taking direct aim at the frenzied consumerism that dominates the holidays...." -@USATODAY https://t.co/VtJimZNAfG #OptOutside — REI (@REI) October 26 2015 #GOPdebate pic.twitter.com/rBT90JvCmM — Hillary Clinton (@HillaryClinton) October 29 2015 Twitter SF Comms presents Timeline Bling #hotlinebling #dancelikedrake https://t.co/NL320D6va9 — Jim Prosser (@jimprosser) October 23 2015 Autopilot 1.01 coming soon: curve speed adaption controller smoothness better lane holding on poor roads improved fleet learning! — Elon Musk (@elonmusk) October 23 2015 Top domains in digital strategy: Digital strategists sourced content from these domains more than any others between Oct 22nd - 29th. Top used emoji's by digital strategists: Are you creating and sharing content to attract a target audience? If so contact us for a demo as we'd love to help you better understand the culture and interests of your ideal customer.,Brian,October 29 2015
,10,Affinio_blog_content,Affinio_blog_content,10,http://www.affinio.com/blog/data-shows-football-fans-love-coldplay,Data Shows Football Fans Love Coldplay,No matter which teams make the game the Super Bowl is always one of the most anticipated sporting events of the year. Last year alone an average audience of 114.4 million viewers tuned into watch the New England Patriots defeat the Seattle Seahawks. This year expects to top that as it marks the 50th anniversary of the event. As big as the actual football component of the Super Bowl is the Halftime show has developed a following of it’s own. Thanks to past acts including Katy Perry Bruno Mars The Rolling Stones and others those who wouldn’t typically watch a football game are watching. That’s why choosing a half time act cannot be taken lightly. Lots of consideration goes into which musician is the best fit not only due to audience suitability but also thanks to risk management (does #boobgate with Janet Jackson and Justin Timberlake ring a bell?). With the announcement of the Super Bowl halftime act on the horizon the team here at Affinio analyzed the audience of the @SuperBowl twitter handle back on November 23rd to see if we could predict which musician would be announced for the halftime show (graph of audience above). If the Halftime show selection committee wished to have a band performing the results suggested that Coldplay would be a good fit as the top rated Musician interest (Justin Timberlake Katy Perry and Taylor Swift were Top Ranked Solo Artists). So it came as no surprise when last week the NFL announced that Coldplay was actually going to be headlining the Super Bowl’s 50th Anniversary Halftime show. Even though we knew Coldplay was a great fit for the @SuperBowl crowd we were curious about how they ranked with the more hardcore football fans that follow @NFL. Turns out Coldplay was still a great choice as they ranked almost as high in the musical band section as well. When you’re looking for the next big sponsorship or promotional event it’s important to tap into the interests of the people who already support you. Building on relationships they already support not only makes solid business sense but also leaves your fan-base with an experience they’ll cherish for a long time.,Dan,December 10 2015
